Anchor_RGB,Color_A_RGB,Color_B_RGB,Preference
"[0.58362204, 0.74809533, 0.1344448]","[0.059620608, 0.30876467, 0.09311188]","[0.99516016, 0.77874845, 0.75883263]",B
"[0.2174249, 0.5719658, 0.16109927]","[0.10319102, 0.23337282, 0.2984067]","[0.92155665, 0.70278066, 0.6013273]",A
"[0.2174249, 0.5719658, 0.16109927]","[0.10319102, 0.23337282, 0.2984067]","[0.92155665, 0.70278066, 0.6013273]",A
"[0.5923945, 0.39228427, 0.51949316]","[0.08930728, 0.6085655, 0.7795763]","[0.7786312, 0.6104595, 0.2238269]",A
"[0.93293947, 0.8462502, 0.2701119]","[0.9900107, 0.604735, 0.62964076]","[0.15910435, 0.43928212, 0.27682188]",B
"[0.8408748, 0.51453817, 0.7428045]","[0.3243151, 0.09112907, 0.13112213]","[0.19196437, 0.64338756, 0.58828247]",B
"[0.95692474, 0.32009867, 0.9611905]","[0.96176803, 0.53952676, 0.31457406]","[0.030150725, 0.008931164, 0.5198227]",A
"[0.5529052, 0.9267366, 0.21794279]","[0.92155665, 0.70278066, 0.6013273]","[0.10097113, 0.39913496, 0.18393858]",B
"[0.13477863, 0.901752, 0.44750226]","[0.9843281, 0.6722219, 0.11944974]","[0.15525663, 0.5530327, 0.68104714]",B
"[0.13477863, 0.901752, 0.44750226]","[0.9843281, 0.6722219, 0.11944974]","[0.15525663, 0.5530327, 0.68104714]",B
"[0.9843281, 0.6722219, 0.11944974]","[0.13477863, 0.901752, 0.44750226]","[0.9361869, 0.37060046, 0.50298387]",B
"[0.38434422, 0.004108647, 0.28262982]","[0.8341824, 0.3450827, 0.09666574]","[0.52147764, 0.6269069, 0.6447477]",A
"[0.38434422, 0.004108647, 0.28262982]","[0.8341824, 0.3450827, 0.09666574]","[0.52147764, 0.6269069, 0.6447477]",B
"[0.2573083, 0.8252636, 0.0015043272]","[0.92155665, 0.70278066, 0.6013273]","[0.059620608, 0.30876467, 0.09311188]",B
"[0.8820948, 0.14557824, 0.6782663]","[0.07842617, 0.25057054, 0.3789858]","[0.675763, 0.89294726, 0.8491914]",B
"[0.5962336, 0.5997921, 0.42372647]","[0.75251824, 0.17532676, 0.26192245]","[0.0010777824, 0.6989205, 0.9973598]",A
"[0.24752179, 0.8717991, 0.7342679]","[0.9843281, 0.6722219, 0.11944974]","[0.4698559, 0.53270566, 0.9821313]",B
"[0.27416435, 0.39015758, 0.47710365]","[0.19761778, 0.9732502, 0.9606222]","[0.98458457, 0.112115845, 0.39388487]",B
"[0.27416435, 0.39015758, 0.47710365]","[0.19761778, 0.9732502, 0.9606222]","[0.98458457, 0.112115845, 0.39388487]",A
"[0.3968081, 0.6939759, 0.19573283]","[0.26905495, 0.71897584, 0.8621225]","[0.5409302, 0.36565778, 0.30290177]",A
"[0.3968081, 0.6939759, 0.19573283]","[0.26905495, 0.71897584, 0.8621225]","[0.5409302, 0.36565778, 0.30290177]",B
"[0.3968081, 0.6939759, 0.19573283]","[0.26905495, 0.71897584, 0.8621225]","[0.5409302, 0.36565778, 0.30290177]",B
"[0.7718995, 0.2799151, 0.624447]","[0.675763, 0.89294726, 0.8491914]","[0.16809896, 0.17930876, 0.14720467]",B
"[0.7718995, 0.2799151, 0.624447]","[0.675763, 0.89294726, 0.8491914]","[0.16809896, 0.17930876, 0.14720467]",B
"[0.7379303, 0.982054, 0.36719203]","[0.10097113, 0.39913496, 0.18393858]","[0.99516016, 0.77874845, 0.75883263]",A
"[0.65144515, 0.4461328, 0.926618]","[0.24052416, 0.018580142, 0.11498279]","[0.6297043, 0.7600235, 0.5916627]",A
"[0.35943183, 0.9168012, 0.78549093]","[0.4698559, 0.53270566, 0.9821313]","[0.9843281, 0.6722219, 0.11944974]",A
"[0.98458457, 0.112115845, 0.39388487]","[0.14056721, 0.37752238, 0.7164614]","[0.7280996, 0.80369127, 0.8814114]",A
"[0.52147764, 0.6269069, 0.6447477]","[0.8024832, 0.042646427, 0.05125369]","[0.18885037, 0.13588701, 0.32611346]",A
"[0.5409302, 0.36565778, 0.30290177]","[0.16583852, 0.67033935, 0.87614]","[0.9590746, 0.84200346, 0.2029584]",A
"[0.9493457, 0.88020086, 0.548118]","[0.15910435, 0.43928212, 0.27682188]","[0.5638197, 0.8312012, 0.995062]",A
"[0.3243151, 0.09112907, 0.13112213]","[0.33679843, 0.48484093, 0.9893742]","[0.4660275, 0.45984092, 0.07776083]",A
"[0.66310036, 0.5618061, 0.022247512]","[0.19761778, 0.9732502, 0.9606222]","[0.09228869, 0.11606627, 0.009640591]",B
"[0.28580162, 0.6172806, 0.5728704]","[0.30803087, 0.18217841, 0.9097634]","[0.92734677, 0.5202673, 0.14973386]",B
"[0.91071, 0.4063567, 0.24767949]","[0.5154145, 0.58846533, 0.10416116]","[0.6591205, 0.03782582, 0.7513353]",B
"[0.18885037, 0.13588701, 0.32611346]","[0.14626391, 0.3378313, 0.03439924]","[0.8408748, 0.51453817, 0.7428045]",B
"[0.5670558, 0.32308865, 0.23184013]","[0.030150725, 0.008931164, 0.5198227]","[0.6297043, 0.7600235, 0.5916627]",B
"[0.9076026, 0.9315572, 0.9785527]","[0.86511636, 0.08235483, 0.5409261]","[0.11566061, 0.5433878, 0.21150972]",A
"[0.28257224, 0.09561803, 0.34085274]","[0.10097113, 0.39913496, 0.18393858]","[0.94444615, 0.22942027, 0.16708449]",B
"[0.69751006, 0.503858, 0.45070046]","[0.6919481, 0.864978, 0.06280345]","[0.14626391, 0.3378313, 0.03439924]",B
"[0.072723806, 0.4647857, 0.86964935]","[0.19761778, 0.9732502, 0.9606222]","[0.24052416, 0.018580142, 0.11498279]",B
"[0.072723806, 0.4647857, 0.86964935]","[0.19761778, 0.9732502, 0.9606222]","[0.24052416, 0.018580142, 0.11498279]",A
"[0.033967778, 0.9987502, 0.4280977]","[0.10097113, 0.39913496, 0.18393858]","[0.9843281, 0.6722219, 0.11944974]",B
"[0.81955206, 0.7085202, 0.0060434034]","[0.9900107, 0.604735, 0.62964076]","[0.14626391, 0.3378313, 0.03439924]",B
"[0.9470939, 0.4029645, 0.2879174]","[0.93293947, 0.8462502, 0.2701119]","[0.37031287, 0.19282404, 0.43558642]",A
"[0.16809896, 0.17930876, 0.14720467]","[0.3111563, 0.659657, 0.17583856]","[0.5099921, 0.06582427, 0.8723116]",B
"[0.16809896, 0.17930876, 0.14720467]","[0.3111563, 0.659657, 0.17583856]","[0.5099921, 0.06582427, 0.8723116]",A
"[0.51567674, 0.14844598, 0.37859628]","[0.09228869, 0.11606627, 0.009640591]","[0.6847731, 0.722837, 0.72690415]",A
"[0.51567674, 0.14844598, 0.37859628]","[0.09228869, 0.11606627, 0.009640591]","[0.6847731, 0.722837, 0.72690415]",A
"[0.9900107, 0.604735, 0.62964076]","[0.6407843, 0.6634876, 0.2954357]","[0.5099921, 0.06582427, 0.8723116]",B
"[0.3652242, 0.42503437, 0.050543744]","[0.91071, 0.4063567, 0.24767949]","[0.46169275, 0.9522145, 0.83614564]",A
"[0.3652242, 0.42503437, 0.050543744]","[0.91071, 0.4063567, 0.24767949]","[0.46169275, 0.9522145, 0.83614564]",A
"[0.8702967, 0.28330728, 0.9102913]","[0.26905495, 0.71897584, 0.8621225]","[0.70851624, 0.18887244, 0.035659455]",A
"[0.65518135, 0.9542496, 0.15947463]","[0.10097113, 0.39913496, 0.18393858]","[0.7280996, 0.80369127, 0.8814114]",A
"[0.030150725, 0.008931164, 0.5198227]","[0.95692474, 0.32009867, 0.9611905]","[0.6223691, 0.1608714, 0.0868029]",A
"[0.030150725, 0.008931164, 0.5198227]","[0.95692474, 0.32009867, 0.9611905]","[0.6223691, 0.1608714, 0.0868029]",A
"[0.11566061, 0.5433878, 0.21150972]","[0.9843281, 0.6722219, 0.11944974]","[0.038313866, 0.4758664, 0.6579942]",A
"[0.11566061, 0.5433878, 0.21150972]","[0.9843281, 0.6722219, 0.11944974]","[0.038313866, 0.4758664, 0.6579942]",A
"[0.11566061, 0.5433878, 0.21150972]","[0.9843281, 0.6722219, 0.11944974]","[0.038313866, 0.4758664, 0.6579942]",A
"[0.11566061, 0.5433878, 0.21150972]","[0.9843281, 0.6722219, 0.11944974]","[0.038313866, 0.4758664, 0.6579942]",A
"[0.74056894, 0.48870194, 0.6089753]","[0.9843281, 0.6722219, 0.11944974]","[0.030150725, 0.008931164, 0.5198227]",B
"[0.3941933, 0.21807966, 0.9687203]","[0.8024832, 0.042646427, 0.05125369]","[0.19196437, 0.64338756, 0.58828247]",A
"[0.9037674, 0.07662676, 0.070415206]","[0.6179118, 0.684855, 0.8275942]","[0.44707772, 0.12088914, 0.80955094]",B
"[0.6179118, 0.684855, 0.8275942]","[0.3111563, 0.659657, 0.17583856]","[0.9037674, 0.07662676, 0.070415206]",B
"[0.6179118, 0.684855, 0.8275942]","[0.3111563, 0.659657, 0.17583856]","[0.9037674, 0.07662676, 0.070415206]",A
"[0.24269833, 0.348912, 0.49263734]","[0.94444615, 0.22942027, 0.16708449]","[0.083729744, 0.77479684, 0.64405394]",A
"[0.22583278, 0.91393137, 0.017038003]","[0.7280996, 0.80369127, 0.8814114]","[0.14626391, 0.3378313, 0.03439924]",B
"[0.22583278, 0.91393137, 0.017038003]","[0.7280996, 0.80369127, 0.8814114]","[0.14626391, 0.3378313, 0.03439924]",B
"[0.6010465, 0.124871045, 0.6625495]","[0.91071, 0.4063567, 0.24767949]","[0.15910435, 0.43928212, 0.27682188]",A
"[0.8776262, 0.6375873, 0.40733877]","[0.07768129, 0.9394574, 0.10651917]","[0.27416435, 0.39015758, 0.47710365]",B
"[0.8776262, 0.6375873, 0.40733877]","[0.07768129, 0.9394574, 0.10651917]","[0.27416435, 0.39015758, 0.47710365]",B
"[0.8776262, 0.6375873, 0.40733877]","[0.07768129, 0.9394574, 0.10651917]","[0.27416435, 0.39015758, 0.47710365]",A
"[0.38709337, 0.5290712, 0.5537098]","[0.6405511, 0.09960124, 0.19482882]","[0.65518135, 0.9542496, 0.15947463]",A
"[0.76206297, 0.443143, 0.12694748]","[0.5010025, 0.7937973, 0.475963]","[0.5726484, 0.059174117, 0.34440756]",B
"[0.0010777824, 0.6989205, 0.9973598]","[0.6032358, 0.2593448, 0.79269695]","[0.5962336, 0.5997921, 0.42372647]",A
"[0.84855014, 0.96929884, 0.57533604]","[0.26905495, 0.71897584, 0.8621225]","[0.96176803, 0.53952676, 0.31457406]",A
"[0.3537294, 0.86099494, 0.46364677]","[0.14626391, 0.3378313, 0.03439924]","[0.92155665, 0.70278066, 0.6013273]",B
"[0.5154145, 0.58846533, 0.10416116]","[0.15525663, 0.5530327, 0.68104714]","[0.91071, 0.4063567, 0.24767949]",A
"[0.17568776, 0.6142889, 0.37473804]","[0.76206297, 0.443143, 0.12694748]","[0.22138605, 0.4357165, 0.7567308]",B
"[0.5506571, 0.41899, 0.9460235]","[0.91071, 0.4063567, 0.24767949]","[0.6223691, 0.1608714, 0.0868029]",A
"[0.9590746, 0.84200346, 0.2029584]","[0.37760988, 0.85502356, 0.9328168]","[0.9900107, 0.604735, 0.62964076]",B
"[0.9590746, 0.84200346, 0.2029584]","[0.37760988, 0.85502356, 0.9328168]","[0.9900107, 0.604735, 0.62964076]",B
"[0.46169275, 0.9522145, 0.83614564]","[0.3652242, 0.42503437, 0.050543744]","[0.4698559, 0.53270566, 0.9821313]",B
"[0.83690625, 0.022532476, 0.483611]","[0.07842617, 0.25057054, 0.3789858]","[0.8776262, 0.6375873, 0.40733877]",A
"[0.6847731, 0.722837, 0.72690415]","[0.126216, 0.23911531, 0.82850623]","[0.29646498, 0.27309486, 0.2038703]",B
"[0.70851624, 0.18887244, 0.035659455]","[0.7035789, 0.7115102, 0.7998884]","[0.44707772, 0.12088914, 0.80955094]",A
"[0.79717106, 0.54917276, 0.7850871]","[0.37760988, 0.85502356, 0.9328168]","[0.18885037, 0.13588701, 0.32611346]",A
"[0.79717106, 0.54917276, 0.7850871]","[0.37760988, 0.85502356, 0.9328168]","[0.18885037, 0.13588701, 0.32611346]",A
"[0.42232352, 0.4788581, 0.395435]","[0.21419935, 0.07837198, 0.9251755]","[0.51567674, 0.14844598, 0.37859628]",B
"[0.3111563, 0.659657, 0.17583856]","[0.16809896, 0.17930876, 0.14720467]","[0.6179118, 0.684855, 0.8275942]",B
"[0.9361869, 0.37060046, 0.50298387]","[0.17781375, 0.10642242, 0.6017354]","[0.9843281, 0.6722219, 0.11944974]",A
"[0.58929104, 0.8830688, 0.25427255]","[0.99516016, 0.77874845, 0.75883263]","[0.14626391, 0.3378313, 0.03439924]",B
"[0.20353222, 0.8124961, 0.29027113]","[0.6179118, 0.684855, 0.8275942]","[0.059620608, 0.30876467, 0.09311188]",A
"[0.20353222, 0.8124961, 0.29027113]","[0.6179118, 0.684855, 0.8275942]","[0.059620608, 0.30876467, 0.09311188]",A
"[0.20353222, 0.8124961, 0.29027113]","[0.6179118, 0.684855, 0.8275942]","[0.059620608, 0.30876467, 0.09311188]",B
"[0.20353222, 0.8124961, 0.29027113]","[0.6179118, 0.684855, 0.8275942]","[0.059620608, 0.30876467, 0.09311188]",B
"[0.20353222, 0.8124961, 0.29027113]","[0.6179118, 0.684855, 0.8275942]","[0.059620608, 0.30876467, 0.09311188]",B
"[0.57844055, 0.22655265, 0.90453297]","[0.70851624, 0.18887244, 0.035659455]","[0.19196437, 0.64338756, 0.58828247]",A
"[0.92734677, 0.5202673, 0.14973386]","[0.4037226, 0.41516057, 0.5802759]","[0.7175022, 0.92075163, 0.686394]",A
"[0.43289277, 0.6307661, 0.7643473]","[0.11780414, 0.83802134, 0.33336592]","[0.9361869, 0.37060046, 0.50298387]",B
"[0.80804527, 0.3416905, 0.43133628]","[0.07842617, 0.25057054, 0.3789858]","[0.9843281, 0.6722219, 0.11944974]",A
"[0.80804527, 0.3416905, 0.43133628]","[0.07842617, 0.25057054, 0.3789858]","[0.9843281, 0.6722219, 0.11944974]",A
"[0.09228869, 0.11606627, 0.009640591]","[0.51567674, 0.14844598, 0.37859628]","[0.042993262, 0.63375765, 0.058185067]",B
"[0.09228869, 0.11606627, 0.009640591]","[0.51567674, 0.14844598, 0.37859628]","[0.042993262, 0.63375765, 0.058185067]",A
"[0.6820895, 0.8161485, 0.5090158]","[0.72913647, 0.32295892, 0.04245738]","[0.3061055, 0.62804973, 0.8660026]",B
"[0.6820895, 0.8161485, 0.5090158]","[0.72913647, 0.32295892, 0.04245738]","[0.3061055, 0.62804973, 0.8660026]",B
"[0.08819245, 0.01700423, 0.32502288]","[0.12957829, 0.59799176, 0.7450485]","[0.8353322, 0.41991124, 0.41344228]",A
"[0.8878732, 0.28285444, 0.1931028]","[0.15126514, 0.051755786, 0.80512476]","[0.12500314, 0.15350412, 0.045116834]",A
"[0.8194469, 0.67657447, 0.44227314]","[0.94108915, 0.36720967, 0.7865042]","[0.17557667, 0.2760003, 0.15214899]",B
"[0.4132373, 0.47470883, 0.6260167]","[0.9464923, 0.69626, 0.07872985]","[0.17917883, 0.9726259, 0.5772174]",B
"[0.14110029, 0.8789176, 0.07573435]","[0.03811617, 0.4525422, 0.5253325]","[0.92626077, 0.77242625, 0.755602]",A
"[0.6096427, 0.20980465, 0.75819755]","[0.81142074, 0.39419, 0.0675042]","[0.26047212, 0.75457966, 0.9406378]",A
"[0.25012428, 0.17607512, 0.1785025]","[0.4416286, 0.6022802, 0.02218597]","[0.3061055, 0.62804973, 0.8660026]",B
"[0.25012428, 0.17607512, 0.1785025]","[0.4416286, 0.6022802, 0.02218597]","[0.3061055, 0.62804973, 0.8660026]",A
"[0.054182626, 0.7093122, 0.6194404]","[0.9847657, 0.24967262, 0.89123046]","[0.12500314, 0.15350412, 0.045116834]",A
"[0.7102092, 0.37939477, 0.31216118]","[0.5713693, 0.7202357, 0.19569696]","[0.03811617, 0.4525422, 0.5253325]",B
"[0.3040577, 0.94777364, 0.7108472]","[0.45729828, 0.360897, 0.114294976]","[0.67613584, 0.5099111, 0.91416276]",B
"[0.49747232, 0.09368257, 0.9596856]","[0.101245135, 0.21812493, 0.08598353]","[0.92626077, 0.77242625, 0.755602]",A
"[0.5410495, 0.35853308, 0.5936036]","[0.9036363, 0.5552609, 0.16212046]","[0.17557667, 0.2760003, 0.15214899]",A
"[0.16311236, 0.24491437, 0.5436259]","[0.8438536, 0.70625716, 0.94383395]","[0.45729828, 0.360897, 0.114294976]",A
"[0.10664907, 0.85901517, 0.7948752]","[0.270432, 0.332123, 0.5016248]","[0.89823705, 0.38322353, 0.9570207]",B
"[0.6377559, 0.060014065, 0.101663575]","[0.88253486, 0.6419414, 0.9221322]","[0.101245135, 0.21812493, 0.08598353]",A
"[0.6377559, 0.060014065, 0.101663575]","[0.88253486, 0.6419414, 0.9221322]","[0.101245135, 0.21812493, 0.08598353]",B
"[0.112672776, 0.31155837, 0.73381287]","[0.72913647, 0.32295892, 0.04245738]","[0.2217911, 0.7691273, 0.6812075]",A
"[0.31663245, 0.840888, 0.035077773]","[0.9036363, 0.5552609, 0.16212046]","[0.17557667, 0.2760003, 0.15214899]",A
"[0.9101639, 0.015397051, 0.8496201]","[0.81142074, 0.39419, 0.0675042]","[0.054182626, 0.7093122, 0.6194404]",B
"[0.8576144, 0.90105927, 0.6009419]","[0.8353322, 0.41991124, 0.41344228]","[0.060432456, 0.35025167, 0.26532462]",B
"[0.1809844, 0.6663909, 0.9826169]","[0.998349, 0.42791936, 0.5485821]","[0.020314708, 0.071078435, 0.6680267]",A
"[0.58731574, 0.492888, 0.16782615]","[0.5410495, 0.35853308, 0.5936036]","[0.26047212, 0.75457966, 0.9406378]",B
"[0.2900999, 0.40056467, 0.77096254]","[0.45729828, 0.360897, 0.114294976]","[0.21776927, 0.96644473, 0.9192531]",A
"[0.2900999, 0.40056467, 0.77096254]","[0.45729828, 0.360897, 0.114294976]","[0.21776927, 0.96644473, 0.9192531]",A
"[0.7484682, 0.16687287, 0.6524401]","[0.9621927, 0.45487416, 0.04993]","[0.12957829, 0.59799176, 0.7450485]",A
"[0.6963655, 0.95718616, 0.2472851]","[0.9826182, 0.6709085, 0.58008516]","[0.060432456, 0.35025167, 0.26532462]",A
"[0.27974522, 0.7235318, 0.3636102]","[0.12500314, 0.15350412, 0.045116834]","[0.67613584, 0.5099111, 0.91416276]",A
"[0.998349, 0.42791936, 0.5485821]","[0.8069684, 0.8542532, 0.64233863]","[0.23767662, 0.010394183, 0.71307427]",B
"[0.80125695, 0.5345269, 0.7977295]","[0.08819245, 0.01700423, 0.32502288]","[0.3040577, 0.94777364, 0.7108472]",A
"[0.45729828, 0.360897, 0.114294976]","[0.2900999, 0.40056467, 0.77096254]","[0.5939728, 0.9530251, 0.8553263]",A
"[0.6074952, 0.6313458, 0.69822526]","[0.12500314, 0.15350412, 0.045116834]","[0.08819245, 0.01700423, 0.32502288]",B
"[0.6074952, 0.6313458, 0.69822526]","[0.12500314, 0.15350412, 0.045116834]","[0.08819245, 0.01700423, 0.32502288]",A
"[0.6074952, 0.6313458, 0.69822526]","[0.12500314, 0.15350412, 0.045116834]","[0.08819245, 0.01700423, 0.32502288]",A
"[0.4311017, 0.9284157, 0.8160015]","[0.89823705, 0.38322353, 0.9570207]","[0.45729828, 0.360897, 0.114294976]",A
"[0.8371889, 0.22305067, 0.006333817]","[0.06315211, 0.18032399, 0.58845246]","[0.7786401, 0.76292294, 0.14391491]",B
"[0.894026, 0.86039776, 0.25697276]","[0.09678729, 0.53733826, 0.6375235]","[0.92265815, 0.48395243, 0.45447686]",A
"[0.894026, 0.86039776, 0.25697276]","[0.09678729, 0.53733826, 0.6375235]","[0.92265815, 0.48395243, 0.45447686]",B
"[0.894026, 0.86039776, 0.25697276]","[0.09678729, 0.53733826, 0.6375235]","[0.92265815, 0.48395243, 0.45447686]",A
"[0.894026, 0.86039776, 0.25697276]","[0.09678729, 0.53733826, 0.6375235]","[0.92265815, 0.48395243, 0.45447686]",A
"[0.36255357, 0.035010874, 0.5652252]","[0.72913647, 0.32295892, 0.04245738]","[0.88253486, 0.6419414, 0.9221322]",B
"[0.36255357, 0.035010874, 0.5652252]","[0.72913647, 0.32295892, 0.04245738]","[0.88253486, 0.6419414, 0.9221322]",B
"[0.6602812, 0.2686347, 0.94886804]","[0.72913647, 0.32295892, 0.04245738]","[0.05598057, 0.9060659, 0.96429306]",B
"[0.6602812, 0.2686347, 0.94886804]","[0.72913647, 0.32295892, 0.04245738]","[0.05598057, 0.9060659, 0.96429306]",B
"[0.6602812, 0.2686347, 0.94886804]","[0.72913647, 0.32295892, 0.04245738]","[0.05598057, 0.9060659, 0.96429306]",B
"[0.6602812, 0.2686347, 0.94886804]","[0.72913647, 0.32295892, 0.04245738]","[0.05598057, 0.9060659, 0.96429306]",A
"[0.67062795, 0.66007024, 0.18589692]","[0.12500314, 0.15350412, 0.045116834]","[0.26047212, 0.75457966, 0.9406378]",A
"[0.07667417, 0.4855825, 0.9957981]","[0.33230212, 0.066540144, 0.06282513]","[0.9890998, 0.506645, 0.31665164]",A
"[0.8318545, 0.83262223, 0.8628065]","[6.9625676e-06, 0.41466448, 0.026792966]","[0.5852054, 0.17302683, 0.26072562]",B
"[0.4257016, 0.0061610527, 0.053139456]","[0.5287574, 0.51749957, 0.061495535]","[0.89823705, 0.38322353, 0.9570207]",A
"[0.12957829, 0.59799176, 0.7450485]","[0.9847657, 0.24967262, 0.89123046]","[0.36899033, 0.8936936, 0.30391577]",A
"[0.12957829, 0.59799176, 0.7450485]","[0.9847657, 0.24967262, 0.89123046]","[0.36899033, 0.8936936, 0.30391577]",B
"[0.59818506, 0.30323046, 0.43653968]","[0.101245135, 0.21812493, 0.08598353]","[0.75939715, 0.73186743, 0.53539604]",A
"[0.59818506, 0.30323046, 0.43653968]","[0.101245135, 0.21812493, 0.08598353]","[0.75939715, 0.73186743, 0.53539604]",A
"[0.46765006, 0.688917, 0.7509401]","[0.8733452, 0.12853096, 0.5047723]","[0.101245135, 0.21812493, 0.08598353]",A
"[0.81142074, 0.39419, 0.0675042]","[0.7324914, 0.9256072, 0.74966085]","[0.50308037, 0.06373553, 0.49648976]",B
"[0.270432, 0.332123, 0.5016248]","[0.05598057, 0.9060659, 0.96429306]","[0.9621927, 0.45487416, 0.04993]",B
"[0.270432, 0.332123, 0.5016248]","[0.05598057, 0.9060659, 0.96429306]","[0.9621927, 0.45487416, 0.04993]",A
"[0.69096994, 0.098469086, 0.88357395]","[0.72913647, 0.32295892, 0.04245738]","[0.13535102, 0.7947297, 0.83964837]",B
"[0.69096994, 0.098469086, 0.88357395]","[0.72913647, 0.32295892, 0.04245738]","[0.13535102, 0.7947297, 0.83964837]",B
"[0.69096994, 0.098469086, 0.88357395]","[0.72913647, 0.32295892, 0.04245738]","[0.13535102, 0.7947297, 0.83964837]",B
"[0.73922664, 0.7755021, 0.47841862]","[0.3061055, 0.62804973, 0.8660026]","[0.8371889, 0.22305067, 0.006333817]",B
"[0.73922664, 0.7755021, 0.47841862]","[0.3061055, 0.62804973, 0.8660026]","[0.8371889, 0.22305067, 0.006333817]",B
"[0.28475317, 0.5418098, 0.09427215]","[0.23164529, 0.5879376, 0.7741061]","[0.7102092, 0.37939477, 0.31216118]",B
"[0.94108915, 0.36720967, 0.7865042]","[0.060432456, 0.35025167, 0.26532462]","[0.9036363, 0.5552609, 0.16212046]",A
"[0.21776927, 0.96644473, 0.9192531]","[0.52335817, 0.4073139, 0.82327074]","[0.37512806, 0.37683457, 0.12850133]",A
"[0.21776927, 0.96644473, 0.9192531]","[0.52335817, 0.4073139, 0.82327074]","[0.37512806, 0.37683457, 0.12850133]",A
"[0.58197373, 0.5705955, 0.96693915]","[0.19745761, 0.5605114, 0.27557415]","[0.6377559, 0.060014065, 0.101663575]",A
"[0.17557667, 0.2760003, 0.15214899]","[0.67277545, 0.23755644, 0.37184387]","[0.3061055, 0.62804973, 0.8660026]",A
"[0.32679337, 0.23234676, 0.83406353]","[0.8371889, 0.22305067, 0.006333817]","[0.13535102, 0.7947297, 0.83964837]",A
"[0.11911716, 0.6405817, 0.40095305]","[0.8597695, 0.44729537, 0.9118736]","[0.33831167, 0.26340213, 0.47016928]",B
"[0.65015954, 0.4659475, 0.7182419]","[0.8701126, 0.6200953, 0.20336108]","[0.05598057, 0.9060659, 0.96429306]",B
"[0.101245135, 0.21812493, 0.08598353]","[0.7123119, 0.2002955, 0.15480842]","[0.49747232, 0.09368257, 0.9596856]",A
"[0.8701126, 0.6200953, 0.20336108]","[0.5852054, 0.17302683, 0.26072562]","[0.26047212, 0.75457966, 0.9406378]",A
"[0.8701126, 0.6200953, 0.20336108]","[0.5852054, 0.17302683, 0.26072562]","[0.26047212, 0.75457966, 0.9406378]",A
"[0.16955297, 0.82247674, 0.33723286]","[0.88253486, 0.6419414, 0.9221322]","[0.17557667, 0.2760003, 0.15214899]",A
"[0.16955297, 0.82247674, 0.33723286]","[0.88253486, 0.6419414, 0.9221322]","[0.17557667, 0.2760003, 0.15214899]",A
"[0.18815595, 0.38773817, 0.6091912]","[0.9890998, 0.506645, 0.31665164]","[0.0665056, 0.56421286, 0.13896818]",A
"[0.9667738, 0.7897238, 0.72655576]","[0.5612958, 0.14009976, 0.2272685]","[0.0665056, 0.56421286, 0.13896818]",B
"[0.010347196, 0.5238047, 0.8579724]","[0.72913647, 0.32295892, 0.04245738]","[0.379461, 0.8677033, 0.585248]",A
"[0.71664697, 0.5512605, 0.5726051]","[0.08819245, 0.01700423, 0.32502288]","[0.6199934, 0.8497716, 0.1226621]",A
"[0.060432456, 0.35025167, 0.26532462]","[0.56956613, 0.9141814, 0.35280606]","[0.9847657, 0.24967262, 0.89123046]",A
"[0.060432456, 0.35025167, 0.26532462]","[0.56956613, 0.9141814, 0.35280606]","[0.9847657, 0.24967262, 0.89123046]",B
"[0.52335817, 0.4073139, 0.82327074]","[0.101245135, 0.21812493, 0.08598353]","[0.21776927, 0.96644473, 0.9192531]",B
"[0.15126514, 0.051755786, 0.80512476]","[0.97901726, 0.08437146, 0.13171081]","[0.32233462, 0.5200637, 0.37772506]",A
"[0.15126514, 0.051755786, 0.80512476]","[0.97901726, 0.08437146, 0.13171081]","[0.32233462, 0.5200637, 0.37772506]",A
"[0.8257017, 0.25409845, 0.6729619]","[0.1809844, 0.6663909, 0.9826169]","[0.9036363, 0.5552609, 0.16212046]",B
"[0.8257017, 0.25409845, 0.6729619]","[0.1809844, 0.6663909, 0.9826169]","[0.9036363, 0.5552609, 0.16212046]",B
"[0.0789441, 0.90779114, 0.5558362]","[0.45729828, 0.360897, 0.114294976]","[0.88253486, 0.6419414, 0.9221322]",B
"[0.0789441, 0.90779114, 0.5558362]","[0.45729828, 0.360897, 0.114294976]","[0.88253486, 0.6419414, 0.9221322]",B
"[0.0789441, 0.90779114, 0.5558362]","[0.45729828, 0.360897, 0.114294976]","[0.88253486, 0.6419414, 0.9221322]",A
"[0.08242133, 0.33686778, 0.23237601]","[0.7786401, 0.76292294, 0.14391491]","[0.58197373, 0.5705955, 0.96693915]",A
"[0.3469141, 0.807538, 0.53266984]","[0.17557667, 0.2760003, 0.15214899]","[0.8597695, 0.44729537, 0.9118736]",A
"[0.8214885, 0.99739736, 0.09937301]","[0.9826182, 0.6709085, 0.58008516]","[0.13883036, 0.4576816, 0.3897178]",B
"[0.8214885, 0.99739736, 0.09937301]","[0.9826182, 0.6709085, 0.58008516]","[0.13883036, 0.4576816, 0.3897178]",B
"[0.8214885, 0.99739736, 0.09937301]","[0.9826182, 0.6709085, 0.58008516]","[0.13883036, 0.4576816, 0.3897178]",B
"[0.8214885, 0.99739736, 0.09937301]","[0.9826182, 0.6709085, 0.58008516]","[0.13883036, 0.4576816, 0.3897178]",A
