Anchor_RGB,Color_A_RGB,Color_B_RGB,Preference
"[0.668128, 0.84952015, 0.04298523]","[0.0838569, 0.7937982, 0.15885964]","[0.9747039, 0.8960884, 0.37269732]",A
"[0.13183749, 0.5935101, 0.06540238]","[0.5832542, 0.7141607, 0.30639336]","[0.09247911, 0.69976723, 0.46741846]",A
"[0.13183749, 0.5935101, 0.06540238]","[0.5832542, 0.7141607, 0.30639336]","[0.09247911, 0.69976723, 0.46741846]",A
"[0.34110922, 0.3697213, 0.9865]","[0.6642787, 0.1909474, 0.8904885]","[0.02742958, 0.104241, 0.96827686]",A
"[0.7696443, 0.9486499, 0.2695991]","[0.8121737, 0.75667906, 0.22069728]","[0.12344858, 0.9701135, 0.33521903]",B
"[0.9650007, 0.43111598, 0.24498254]","[0.9230183, 0.11384864, 0.16971746]","[0.7950909, 0.47609204, 0.14395571]",A
"[0.9650007, 0.43111598, 0.24498254]","[0.9230183, 0.11384864, 0.16971746]","[0.7950909, 0.47609204, 0.14395571]",B
"[0.077350356, 0.04479035, 0.41817346]","[0.040383156, 0.000404248, 0.13200992]","[0.39021787, 0.009278708, 0.76804304]",B
"[0.077350356, 0.04479035, 0.41817346]","[0.040383156, 0.000404248, 0.13200992]","[0.39021787, 0.009278708, 0.76804304]",B
"[0.077350356, 0.04479035, 0.41817346]","[0.040383156, 0.000404248, 0.13200992]","[0.39021787, 0.009278708, 0.76804304]",B
"[0.5023952, 0.30688655, 0.22833672]","[0.7037853, 0.07162507, 0.009299576]","[0.42354476, 0.37793443, 0.30356357]",A
"[0.07338711, 0.8864238, 0.51555544]","[0.3372599, 0.7157864, 0.08003798]","[0.044231903, 0.9121354, 0.7860945]",A
"[0.3372599, 0.7157864, 0.08003798]","[0.09247911, 0.69976723, 0.46741846]","[0.51949245, 0.9639366, 0.1516352]",B
"[0.69753796, 0.8206668, 0.2569443]","[0.0838569, 0.7937982, 0.15885964]","[0.9508632, 0.8360756, 0.13310212]",A
"[0.69753796, 0.8206668, 0.2569443]","[0.0838569, 0.7937982, 0.15885964]","[0.9508632, 0.8360756, 0.13310212]",A
"[0.22014888, 0.6117759, 0.35339692]","[0.31610423, 0.46675077, 0.34318843]","[0.18916754, 0.8433832, 0.46875662]",B
"[0.93191516, 0.3952714, 0.45485118]","[0.79769576, 0.3134134, 0.5607032]","[0.9970196, 0.14512922, 0.11254093]",A
"[0.48737288, 0.7863191, 0.80465835]","[0.31995296, 0.6207152, 0.74678284]","[0.044231903, 0.9121354, 0.7860945]",A
"[0.5671642, 0.056757882, 0.32339653]","[0.6537633, 0.1653458, 0.21039706]","[0.47849888, 0.03535519, 0.55603755]",B
"[0.19300914, 0.2440832, 0.56626064]","[0.022929389, 0.385653, 0.659718]","[0.39202186, 0.17082031, 0.43673712]",B
"[0.19300914, 0.2440832, 0.56626064]","[0.022929389, 0.385653, 0.659718]","[0.39202186, 0.17082031, 0.43673712]",A
"[0.19300914, 0.2440832, 0.56626064]","[0.022929389, 0.385653, 0.659718]","[0.39202186, 0.17082031, 0.43673712]",A
"[0.3726203, 0.085397944, 0.8708965]","[0.7244937, 0.034728214, 0.82926846]","[0.05432646, 0.16309413, 0.5414287]",A
"[0.3726203, 0.085397944, 0.8708965]","[0.7244937, 0.034728214, 0.82926846]","[0.05432646, 0.16309413, 0.5414287]",A
"[0.80153733, 0.72509897, 0.40423805]","[0.9069119, 0.6462667, 0.21812895]","[0.5832542, 0.7141607, 0.30639336]",A
